date,store_id,product_id,demand_type,imputed_sales,ensemble_forecast
2024-09-09,S001,P001,Fast-Moving,111.0,95.86598225884285
2024-09-10,S001,P001,Fast-Moving,55.0,56.84672019921938
2024-09-11,S001,P001,Fast-Moving,61.0,59.915415227965056
2024-09-12,S001,P001,Fast-Moving,57.0,56.73666777802263
2024-09-13,S001,P001,Fast-Moving,48.0,63.55169929115191
2024-09-14,S001,P001,Fast-Moving,55.0,63.88098098709768
2024-09-15,S001,P001,Fast-Moving,59.0,65.20805805386291
2024-09-16,S001,P001,Fast-Moving,52.0,62.16298445556664
2024-09-17,S001,P001,Fast-Moving,51.0,56.90767846588945
2024-09-18,S001,P001,Fast-Moving,52.0,59.97030431128551
2024-09-19,S001,P001,Fast-Moving,53.0,57.08865311378449
2024-09-20,S001,P001,Fast-Moving,121.0,98.96419335494112
2024-09-21,S001,P001,Fast-Moving,55.0,65.12525643821598
2024-09-22,S001,P001,Fast-Moving,56.0,65.8714581082527
2024-09-23,S001,P001,Fast-Moving,56.0,63.037632907783575
2024-09-24,S001,P001,Fast-Moving,54.0,58.043095808487244
2024-09-26,S001,P001,Fast-Moving,53.0,61.40801733869777
2024-09-27,S001,P001,Fast-Moving,64.0,57.68529215132858
2024-09-28,S001,P001,Fast-Moving,56.0,65.38639010122544
2024-09-29,S001,P001,Fast-Moving,50.0,65.3901617721468
2024-09-30,S001,P001,Fast-Moving,58.0,66.03580420756435
2024-10-01,S001,P001,Fast-Moving,64.0,63.38879236158743
2024-10-02,S001,P001,Fast-Moving,56.0,57.783978086387776
2024-10-03,S001,P001,Fast-Moving,54.0,61.414969028829745
2024-10-04,S001,P001,Fast-Moving,62.0,58.2965929778131
2024-10-05,S001,P001,Fast-Moving,52.0,67.52452541562499
2024-10-06,S001,P001,Fast-Moving,60.0,66.89653553564304
2024-10-07,S001,P001,Fast-Moving,52.0,68.57274514025005
2024-10-08,S001,P001,Fast-Moving,52.0,64.81695338704657
2024-10-09,S001,P001,Fast-Moving,59.0,59.42452238211058
2024-10-10,S001,P001,Fast-Moving,62.0,63.432136478239066
2024-10-11,S001,P001,Fast-Moving,54.0,60.14740720151441
2024-10-12,S001,P001,Fast-Moving,61.0,67.16377843632338
2024-10-13,S001,P001,Fast-Moving,57.0,67.99116422772813
2024-10-14,S001,P001,Fast-Moving,50.0,68.91094416009395
2024-10-15,S001,P001,Fast-Moving,53.0,65.68894490261799
2024-10-16,S001,P001,Fast-Moving,58.0,60.537938458228886
2024-10-17,S001,P001,Fast-Moving,62.0,64.03851634525094
2024-10-18,S001,P001,Fast-Moving,60.0,60.88236716191007
2024-10-19,S001,P001,Fast-Moving,60.0,67.12565566356474
2024-10-20,S001,P001,Fast-Moving,48.0,68.38103904408081
2024-10-21,S001,P001,Fast-Moving,59.0,69.48362117676402
2024-10-22,S001,P001,Fast-Moving,59.0,66.80861517490328
2024-10-23,S001,P001,Fast-Moving,56.0,61.857973797042504
2024-10-24,S001,P001,Fast-Moving,147.0,99.73204106394736
2024-10-25,S001,P001,Fast-Moving,45.0,58.730993656729545
2024-10-26,S001,P001,Fast-Moving,42.0,64.51602639056196
2024-10-27,S001,P001,Fast-Moving,56.0,65.4104287835292
2024-10-28,S001,P001,Fast-Moving,55.0,66.78434842536768
2024-10-29,S001,P001,Fast-Moving,54.0,63.15365776164172
2024-10-30,S001,P001,Fast-Moving,144.0,94.95999918712565
2024-10-31,S001,P001,Fast-Moving,56.0,62.48008734331274
2024-11-02,S001,P001,Fast-Moving,151.0,100.68141534808223
2024-11-03,S001,P001,Fast-Moving,52.0,67.31042124170467
2024-11-04,S001,P001,Fast-Moving,57.0,68.38449587588286
2024-11-05,S001,P001,Fast-Moving,51.0,69.41046172133461
2024-11-06,S001,P001,Fast-Moving,45.0,65.82995912218385
2024-11-07,S001,P001,Fast-Moving,53.0,59.722543223449044
2024-11-08,S001,P001,Fast-Moving,61.0,63.60039848473867
2024-11-09,S001,P001,Fast-Moving,50.0,60.212918429815765
2024-11-10,S001,P001,Fast-Moving,57.0,68.84123577058176
2024-11-11,S001,P001,Fast-Moving,60.0,69.07756473825606
2024-11-12,S001,P001,Fast-Moving,59.0,69.95636528524588
2024-11-13,S001,P001,Fast-Moving,52.0,65.80189570611466
2024-11-14,S001,P001,Fast-Moving,51.0,60.96087728357614
2024-11-15,S001,P001,Fast-Moving,55.0,63.87457925507084
2024-11-16,S001,P001,Fast-Moving,57.0,60.831560641187984
2024-11-17,S001,P001,Fast-Moving,59.0,68.85302068214929
2024-11-18,S001,P001,Fast-Moving,59.0,70.05538167802183
2024-11-19,S001,P001,Fast-Moving,70.0,70.48789125516302
2024-11-20,S001,P001,Fast-Moving,63.0,67.2279643701236
2024-11-21,S001,P001,Fast-Moving,53.0,62.66975615876671
2024-11-22,S001,P001,Fast-Moving,67.0,65.01487178077411
2024-11-23,S001,P001,Fast-Moving,49.0,61.350267320943985
2024-11-24,S001,P001,Fast-Moving,50.0,68.77735175155374
2024-11-25,S001,P001,Fast-Moving,150.0,102.02943351158642
2024-11-26,S001,P001,Fast-Moving,54.0,70.49534076328817
2024-11-27,S001,P001,Fast-Moving,42.0,66.74079260139327
2024-11-28,S001,P001,Fast-Moving,64.0,59.33216820656471
2024-11-29,S001,P001,Fast-Moving,59.0,63.4044852903641
2024-11-30,S001,P001,Fast-Moving,138.0,94.81485107589529
2024-12-01,S001,P001,Fast-Moving,54.0,67.84725929800896
2024-12-02,S001,P001,Fast-Moving,54.0,68.01734223296839
2024-12-03,S001,P001,Fast-Moving,44.0,68.81209736980199
2024-12-04,S001,P001,Fast-Moving,50.0,64.38744041274106
2024-12-06,S001,P001,Fast-Moving,155.0,100.76186464767325
2024-12-07,S001,P001,Fast-Moving,52.0,64.87098783804002
2024-12-08,S001,P001,Fast-Moving,58.0,62.515705735387634
2024-12-09,S001,P001,Fast-Moving,55.0,69.67733492002571
2024-12-10,S001,P001,Fast-Moving,51.0,69.84740068884744
2024-12-11,S001,P001,Fast-Moving,57.0,69.74956625658925
2024-12-12,S001,P001,Fast-Moving,55.0,67.6093674599287
2024-12-13,S001,P001,Fast-Moving,155.0,97.40424762747807
2024-12-14,S001,P001,Fast-Moving,53.0,65.45721465939758
2024-12-15,S001,P001,Fast-Moving,52.0,62.80830195676961
2024-12-16,S001,P001,Fast-Moving,151.0,105.91654826787253
2024-12-17,S001,P001,Fast-Moving,137.0,117.78307476057122
2024-12-18,S001,P001,Fast-Moving,61.0,72.67172294855227
2024-12-19,S001,P001,Fast-Moving,53.0,69.95165583524135
2024-12-20,S001,P001,Fast-Moving,56.0,64.97676251951435
2024-12-21,S001,P001,Fast-Moving,52.0,67.25636834537917
2024-12-22,S001,P001,Fast-Moving,51.0,64.16028347783421
2024-12-23,S001,P001,Fast-Moving,43.0,72.0359381599088
2024-12-24,S001,P001,Fast-Moving,64.0,69.70026662404305
2024-12-25,S001,P001,Fast-Moving,53.0,70.94816201966569
2024-12-26,S001,P001,Fast-Moving,59.0,67.9521759457835
2024-12-27,S001,P001,Fast-Moving,55.0,63.10566435918247
2024-12-29,S001,P001,Fast-Moving,46.0,66.28128344493499
2024-12-30,S001,P001,Fast-Moving,57.0,62.087763579831424
2024-12-31,S001,P001,Fast-Moving,60.0,69.18397833575855
2025-01-01,S001,P001,Fast-Moving,56.0,71.96946539974633
2025-01-03,S001,P001,Fast-Moving,46.0,72.55338603340607
2025-01-04,S001,P001,Fast-Moving,52.0,68.2378332328393
2025-01-05,S001,P001,Fast-Moving,45.0,63.40274666454882
2025-01-06,S001,P001,Fast-Moving,60.0,66.19684643267439
2025-01-07,S001,P001,Fast-Moving,59.0,64.38518348590578
2025-01-08,S001,P001,Fast-Moving,61.0,71.03527321131534
2025-01-09,S001,P001,Fast-Moving,51.0,72.17689659732459
2025-01-10,S001,P001,Fast-Moving,50.0,72.42276638869919
2025-01-11,S001,P001,Fast-Moving,59.0,69.34363135851815
2025-01-12,S001,P001,Fast-Moving,59.0,63.79280267902163
2025-01-13,S001,P001,Fast-Moving,46.0,68.53658849756222
2025-01-14,S001,P001,Fast-Moving,52.0,64.43258813319108
2024-07-24,S001,P002,Fast-Moving,41.0,49.244969549366694
2024-07-25,S001,P002,Fast-Moving,43.0,49.12877271253129
2024-07-27,S001,P002,Fast-Moving,47.0,53.61601927719536
2024-07-28,S001,P002,Fast-Moving,47.0,52.952346451211376
2024-07-29,S001,P002,Fast-Moving,45.0,47.4462835342946
2024-07-30,S001,P002,Fast-Moving,40.0,43.61911471121945
2024-07-31,S001,P002,Fast-Moving,123.0,76.93909605240935
2024-08-01,S001,P002,Fast-Moving,45.0,48.7785310071915
2024-08-02,S001,P002,Fast-Moving,42.0,48.226649966254534
2024-08-03,S001,P002,Fast-Moving,42.0,52.481734055332666
2024-08-04,S001,P002,Fast-Moving,53.0,52.37923752939751
2024-08-05,S001,P002,Fast-Moving,44.0,48.66509813542996
2024-08-06,S001,P002,Fast-Moving,54.0,43.661884848243474
2024-08-07,S001,P002,Fast-Moving,39.0,43.81684620041972
2024-08-08,S001,P002,Fast-Moving,51.0,47.70186488017744
2024-08-09,S001,P002,Fast-Moving,44.0,47.67480988904516
2024-08-10,S001,P002,Fast-Moving,43.0,52.630201824192625
2024-08-11,S001,P002,Fast-Moving,40.0,52.37760459024965
2024-08-12,S001,P002,Fast-Moving,45.0,48.743009263664916
2024-08-13,S001,P002,Fast-Moving,49.0,43.96413832266984
2024-08-14,S001,P002,Fast-Moving,46.0,45.19857126298085
2024-08-15,S001,P002,Fast-Moving,43.0,49.559490592762984
2024-08-16,S001,P002,Fast-Moving,38.0,48.43564338056137
2024-08-17,S001,P002,Fast-Moving,44.0,52.995039221958834
2024-08-18,S001,P002,Fast-Moving,47.0,53.15293583872388
2024-08-19,S001,P002,Fast-Moving,41.0,49.337073727471164
2024-08-20,S001,P002,Fast-Moving,51.0,45.43791203025051
2024-08-21,S001,P002,Fast-Moving,43.0,44.93832092270995
2024-08-22,S001,P002,Fast-Moving,47.0,49.091844698903216
2024-08-23,S001,P002,Fast-Moving,43.0,48.21412366162836
2024-08-24,S001,P002,Fast-Moving,49.0,54.03072928085786
2024-08-25,S001,P002,Fast-Moving,46.0,53.849770154214696
2024-08-26,S001,P002,Fast-Moving,53.0,49.64176288610163
2024-08-27,S001,P002,Fast-Moving,46.0,45.5536954729386
2024-08-28,S001,P002,Fast-Moving,48.0,45.624702967692954
2024-08-29,S001,P002,Fast-Moving,46.0,49.625472913930174
2024-08-30,S001,P002,Fast-Moving,40.0,47.95362918073246
2024-08-31,S001,P002,Fast-Moving,51.0,53.70853016434185
2024-09-01,S001,P002,Fast-Moving,119.0,85.92679245798678
2024-09-02,S001,P002,Fast-Moving,48.0,49.69989480901433
2024-09-03,S001,P002,Fast-Moving,50.0,45.5024180635759
2024-09-04,S001,P002,Fast-Moving,50.0,44.906746176006045
2024-09-05,S001,P002,Fast-Moving,41.0,50.00384104289756
2024-09-06,S001,P002,Fast-Moving,40.0,48.16534844495376
2024-09-07,S001,P002,Fast-Moving,42.0,54.18511339645865
2024-09-08,S001,P002,Fast-Moving,40.0,52.44613463175396
2024-09-09,S001,P002,Fast-Moving,110.0,79.95247520299637
2024-09-10,S001,P002,Fast-Moving,40.0,46.001271498329416
2024-09-11,S001,P002,Fast-Moving,41.0,46.2585945295828
2024-09-12,S001,P002,Fast-Moving,47.0,49.17293678722139
2024-09-13,S001,P002,Fast-Moving,38.0,47.92567076703637
2024-09-14,S001,P002,Fast-Moving,46.0,54.12442894363892
2024-09-15,S001,P002,Fast-Moving,50.0,53.479808623148095
2024-09-16,S001,P002,Fast-Moving,50.0,49.94629323735926
2024-09-17,S001,P002,Fast-Moving,48.0,45.78847789939152
2024-09-19,S001,P002,Fast-Moving,49.0,46.29327560105507
2024-09-20,S001,P002,Fast-Moving,102.0,81.53538236980205
2024-09-21,S001,P002,Fast-Moving,45.0,49.348585023323096
2024-09-22,S001,P002,Fast-Moving,49.0,54.61605734177134
2024-09-23,S001,P002,Fast-Moving,44.0,54.98932413675904
2024-09-24,S001,P002,Fast-Moving,44.0,50.17322169957859
2024-09-25,S001,P002,Fast-Moving,47.0,45.58108972647903
2024-09-26,S001,P002,Fast-Moving,54.0,46.227424140789054
2024-09-27,S001,P002,Fast-Moving,50.0,49.08578190135732
2024-09-28,S001,P002,Fast-Moving,38.0,50.71718943463911
2024-09-29,S001,P002,Fast-Moving,46.0,54.99868076553853
2024-09-30,S001,P002,Fast-Moving,41.0,55.136075291849465
2024-10-01,S001,P002,Fast-Moving,50.0,51.14930711370222
2024-10-02,S001,P002,Fast-Moving,52.0,47.10285995505579
2024-10-03,S001,P002,Fast-Moving,55.0,46.96322558884823
2024-10-04,S001,P002,Fast-Moving,50.0,50.7764402219751
2024-10-05,S001,P002,Fast-Moving,48.0,50.19193970471977
2024-10-06,S001,P002,Fast-Moving,48.0,56.248411580663145
2024-10-07,S001,P002,Fast-Moving,41.0,55.04338552897115
2024-10-08,S001,P002,Fast-Moving,46.0,50.94242438817742
2024-10-09,S001,P002,Fast-Moving,47.0,46.875524730141336
2024-10-10,S001,P002,Fast-Moving,43.0,47.90045640397284
2024-10-11,S001,P002,Fast-Moving,48.0,51.04534752025401
2024-10-12,S001,P002,Fast-Moving,56.0,50.75661955548891
2024-10-13,S001,P002,Fast-Moving,38.0,56.72636238174967
2024-10-14,S001,P002,Fast-Moving,49.0,54.413347972513726
2024-10-15,S001,P002,Fast-Moving,46.0,52.65736707158816
2024-10-16,S001,P002,Fast-Moving,48.0,47.61750789511946
2024-10-17,S001,P002,Fast-Moving,47.0,48.14253302903398
2024-10-18,S001,P002,Fast-Moving,45.0,51.345659313772174
2024-10-19,S001,P002,Fast-Moving,40.0,51.15525326367993
2024-10-20,S001,P002,Fast-Moving,49.0,55.04255285263599
2024-10-21,S001,P002,Fast-Moving,48.0,55.16097879679361
2024-10-22,S001,P002,Fast-Moving,48.0,52.41895968786024
2024-10-23,S001,P002,Fast-Moving,52.0,47.93162126334465
2024-10-24,S001,P002,Fast-Moving,110.0,79.85687871232265
2024-10-25,S001,P002,Fast-Moving,46.0,51.706096458242484
2024-10-26,S001,P002,Fast-Moving,42.0,49.89385660688072
2024-10-27,S001,P002,Fast-Moving,44.0,55.65632213516783
2024-10-28,S001,P002,Fast-Moving,40.0,55.00983070566822
2024-10-29,S001,P002,Fast-Moving,43.0,51.45493584905418
2024-10-30,S001,P002,Fast-Moving,90.0,76.3327383394556
2024-10-31,S001,P002,Fast-Moving,48.0,48.17013186631445
2024-11-01,S001,P002,Fast-Moving,139.0,81.61251787090127
2024-11-02,S001,P002,Fast-Moving,103.0,84.00567657910982
2024-11-03,S001,P002,Fast-Moving,45.0,56.356677416234824
2024-11-04,S001,P002,Fast-Moving,54.0,54.379634839274274
2024-11-05,S001,P002,Fast-Moving,49.0,51.82395034032625
2024-11-06,S001,P002,Fast-Moving,48.0,48.05507009146986
2024-11-07,S001,P002,Fast-Moving,42.0,48.55077927689804
2024-11-08,S001,P002,Fast-Moving,45.0,51.36879661388233
2024-11-09,S001,P002,Fast-Moving,43.0,49.610639633003956
2024-11-10,S001,P002,Fast-Moving,48.0,55.26743804703326
2024-11-11,S001,P002,Fast-Moving,48.0,55.05105373423287
2024-11-12,S001,P002,Fast-Moving,44.0,51.25867489934734
2024-11-13,S001,P002,Fast-Moving,45.0,46.5956792024929
2024-11-14,S001,P002,Fast-Moving,52.0,46.49640051865839
2024-11-15,S001,P002,Fast-Moving,53.0,51.0166196989044
2024-11-16,S001,P002,Fast-Moving,45.0,50.86595516492544
2024-11-17,S001,P002,Fast-Moving,45.0,57.04696355515104
2024-11-18,S001,P002,Fast-Moving,41.0,56.44607301676471
2024-11-19,S001,P002,Fast-Moving,45.0,52.339160948236604
2024-11-20,S001,P002,Fast-Moving,47.0,47.72285905326204
2024-11-21,S001,P002,Fast-Moving,39.0,47.42885914750371
2024-11-22,S001,P002,Fast-Moving,48.0,51.5361774030671
2024-11-23,S001,P002,Fast-Moving,45.0,50.56597284528443
2024-11-24,S001,P002,Fast-Moving,53.0,56.54804858780494
2024-11-25,S001,P002,Fast-Moving,134.0,87.71906394846647
2024-11-26,S001,P002,Fast-Moving,56.0,52.99431015935731
2024-11-27,S001,P002,Fast-Moving,48.0,48.76534118064251
2024-11-28,S001,P002,Fast-Moving,45.0,47.68947520127578
2024-11-29,S001,P002,Fast-Moving,48.0,51.301775451468075
2024-11-30,S001,P002,Fast-Moving,115.0,81.62636116162975
2024-12-01,S001,P002,Fast-Moving,52.0,57.16495927353502
2024-12-02,S001,P002,Fast-Moving,50.0,55.848763406779554
2024-12-03,S001,P002,Fast-Moving,44.0,52.84461165319286
2024-12-04,S001,P002,Fast-Moving,50.0,47.823598988564974
2024-12-05,S001,P002,Fast-Moving,38.0,47.53661049638086
2024-12-06,S001,P002,Fast-Moving,135.0,84.24866698741788
2024-12-07,S001,P002,Fast-Moving,43.0,51.45970823346822
2024-12-08,S001,P002,Fast-Moving,53.0,57.39017112198483
2024-12-09,S001,P002,Fast-Moving,45.0,57.43029277537096
2024-12-10,S001,P002,Fast-Moving,47.0,53.13282131963582
2024-12-11,S001,P002,Fast-Moving,45.0,48.58953463767396
2024-12-12,S001,P002,Fast-Moving,49.0,47.8586031218082
2024-12-13,S001,P002,Fast-Moving,104.0,85.61307713909034
2024-12-14,S001,P002,Fast-Moving,36.0,52.51962734204986
2024-12-15,S001,P002,Fast-Moving,53.0,57.67331868515631
2024-12-16,S001,P002,Fast-Moving,136.0,90.26666299479244
2024-12-17,S001,P002,Fast-Moving,112.0,88.93744944311004
2024-12-19,S001,P002,Fast-Moving,46.0,49.45929299491283
2024-12-20,S001,P002,Fast-Moving,42.0,50.09789692521406
2024-12-21,S001,P002,Fast-Moving,49.0,53.62436457958116
2024-12-22,S001,P002,Fast-Moving,45.0,54.12794160749185
2024-12-23,S001,P002,Fast-Moving,45.0,57.91775660782487
2024-12-24,S001,P002,Fast-Moving,44.0,57.07072463572272
2024-12-25,S001,P002,Fast-Moving,46.0,53.26599190374247
2024-12-26,S001,P002,Fast-Moving,45.0,49.04600272239095
2024-12-28,S001,P002,Fast-Moving,44.0,48.66287432236992
2024-12-29,S001,P002,Fast-Moving,52.0,52.9389395261755
2024-12-30,S001,P002,Fast-Moving,49.0,52.48026870557545
2024-12-31,S001,P002,Fast-Moving,47.0,58.11824158859889
2025-01-01,S001,P002,Fast-Moving,42.0,59.18291081888932
2025-01-02,S001,P002,Fast-Moving,51.0,56.18127485814931
2025-01-03,S001,P002,Fast-Moving,44.0,52.04367741568939
2025-01-04,S001,P002,Fast-Moving,47.0,51.46892342057559
2025-01-05,S001,P002,Fast-Moving,44.0,54.60634917430792
2025-01-06,S001,P002,Fast-Moving,50.0,53.82048795453795
2025-01-07,S001,P002,Fast-Moving,38.0,59.50399497147252
2025-01-08,S001,P002,Fast-Moving,44.0,58.567348131206316
2025-01-09,S001,P002,Fast-Moving,50.0,55.19771786199462
2025-01-10,S001,P002,Fast-Moving,43.0,50.98037989524271
2025-01-11,S001,P002,Fast-Moving,38.0,51.09428556809766
2025-01-12,S001,P002,Fast-Moving,44.0,55.227597170829014
2025-01-13,S001,P002,Fast-Moving,48.0,54.49341746961373
2025-01-14,S001,P002,Fast-Moving,42.0,59.275404711157684
2024-07-24,S001,P003,Seasonal,23.0,24.584713935556977
2024-07-25,S001,P003,Seasonal,20.0,25.412866747470297
2024-07-26,S001,P003,Seasonal,21.0,27.687006468734637
2024-07-27,S001,P003,Seasonal,22.0,29.074743299062145
2024-07-28,S001,P003,Seasonal,26.0,26.52304058231557
2024-07-29,S001,P003,Seasonal,23.0,26.571835708071198
2024-07-30,S001,P003,Seasonal,22.0,24.448497778430912
2024-07-31,S001,P003,Seasonal,48.0,39.247566276564285
2024-08-01,S001,P003,Seasonal,22.0,24.272220820350167
2024-08-02,S001,P003,Seasonal,19.0,26.892924834522226
2024-08-03,S001,P003,Seasonal,24.0,27.85863789165637
2024-08-04,S001,P003,Seasonal,21.0,25.223547800031866
2024-08-05,S001,P003,Seasonal,19.0,25.608140235662983
2024-08-06,S001,P003,Seasonal,21.0,23.253011763420158
2024-08-07,S001,P003,Seasonal,23.0,22.77987490877033
2024-08-08,S001,P003,Seasonal,23.0,23.54672744297369
2024-08-09,S001,P003,Seasonal,20.0,26.227197272880613
2024-08-10,S001,P003,Seasonal,22.0,27.486217634397086
2024-08-11,S001,P003,Seasonal,21.0,24.881930269518186
2024-08-12,S001,P003,Seasonal,17.0,25.52723246772254
2024-08-13,S001,P003,Seasonal,20.0,22.927045935787334
2024-08-14,S001,P003,Seasonal,17.0,22.579443138754698
2024-08-15,S001,P003,Seasonal,22.0,23.177052814071338
2024-08-16,S001,P003,Seasonal,19.0,26.097558654720444
2024-08-17,S001,P003,Seasonal,20.0,27.26945228436436
2024-08-18,S001,P003,Seasonal,17.0,24.643413515676865
2024-08-19,S001,P003,Seasonal,20.0,24.723383301161498
2024-08-20,S001,P003,Seasonal,20.0,23.126633811462618
2024-08-21,S001,P003,Seasonal,21.0,22.74844954012578
2024-08-22,S001,P003,Seasonal,19.0,23.399914157764197
2024-08-23,S001,P003,Seasonal,20.0,25.822424621826393
2024-08-24,S001,P003,Seasonal,22.0,27.27964044080136
2024-08-25,S001,P003,Seasonal,21.0,24.43751719182822
2024-08-26,S001,P003,Seasonal,23.0,24.68773882362633
2024-08-27,S001,P003,Seasonal,24.0,23.24810431653243
2024-08-28,S001,P003,Seasonal,24.0,22.28855255251981
2024-08-29,S001,P003,Seasonal,19.0,23.769838756767115
2024-08-30,S001,P003,Seasonal,19.0,25.808185364322963
2024-08-31,S001,P003,Seasonal,23.0,27.340991316964924
2024-09-01,S001,P003,Seasonal,54.0,37.5636244614244
2024-09-02,S001,P003,Seasonal,18.0,24.112904053732766
2024-09-03,S001,P003,Seasonal,17.0,22.54910401166572
2024-09-04,S001,P003,Seasonal,15.0,21.883003556857204
2024-09-05,S001,P003,Seasonal,19.0,22.042131424465104
2024-09-06,S001,P003,Seasonal,21.0,25.30771716394844
2024-09-07,S001,P003,Seasonal,17.0,26.768444411756416
2024-09-08,S001,P003,Seasonal,17.0,23.678970470034255
2024-09-09,S001,P003,Seasonal,33.0,35.30299619423959
2024-09-10,S001,P003,Seasonal,20.0,22.676568359814148
2024-09-11,S001,P003,Seasonal,20.0,21.6737789096443
2024-09-12,S001,P003,Seasonal,19.0,22.50834613500977
2024-09-13,S001,P003,Seasonal,17.0,24.8368643657956
2024-09-14,S001,P003,Seasonal,18.0,26.157141136003474
2024-09-15,S001,P003,Seasonal,18.0,23.44902915564606
2024-09-16,S001,P003,Seasonal,19.0,24.165505021758133
2024-09-17,S001,P003,Seasonal,17.0,22.194274330887378
2024-09-18,S001,P003,Seasonal,16.0,21.383274984629885
2024-09-19,S001,P003,Seasonal,15.0,21.71963988608178
2024-09-20,S001,P003,Seasonal,44.0,36.11029715113885
2024-09-21,S001,P003,Seasonal,20.0,25.682442169332568
2024-09-22,S001,P003,Seasonal,17.0,23.216047527537164
2024-09-23,S001,P003,Seasonal,15.0,24.054169321078437
2024-09-24,S001,P003,Seasonal,16.0,21.759569127186438
2024-09-25,S001,P003,Seasonal,16.0,20.98267746601806
2024-09-26,S001,P003,Seasonal,17.0,21.296025914680648
2024-09-27,S001,P003,Seasonal,16.0,24.21358585536638
2024-09-28,S001,P003,Seasonal,14.0,25.627903019403604
2024-09-29,S001,P003,Seasonal,20.0,22.78480177741899
2024-09-30,S001,P003,Seasonal,16.0,23.462963301032282
2024-10-01,S001,P003,Seasonal,19.0,20.768479360039457
2024-10-02,S001,P003,Seasonal,17.0,20.44275623601097
2024-10-03,S001,P003,Seasonal,17.0,21.106111741863497
2024-10-04,S001,P003,Seasonal,19.0,24.09877925701212
2024-10-05,S001,P003,Seasonal,18.0,25.666909306333764
2024-10-06,S001,P003,Seasonal,20.0,22.866382946856476
2024-10-07,S001,P003,Seasonal,17.0,23.542617094676313
2024-10-08,S001,P003,Seasonal,16.0,21.677973813778703
2024-10-09,S001,P003,Seasonal,18.0,20.706840628867646
2024-10-10,S001,P003,Seasonal,17.0,21.392954618606893
2024-10-11,S001,P003,Seasonal,21.0,24.089570154690573
2024-10-12,S001,P003,Seasonal,17.0,25.214968823549576
2024-10-13,S001,P003,Seasonal,19.0,23.017737790305198
2024-10-14,S001,P003,Seasonal,18.0,23.30216152094974
2024-10-15,S001,P003,Seasonal,16.0,21.428394914704228
2024-10-16,S001,P003,Seasonal,17.0,20.503760028438194
2024-10-17,S001,P003,Seasonal,19.0,21.29990466926997
